Año,Mes,Día,Hora(utc),Altura(mm)
2016,3,21,14,564 
2016,3,21,15,569 
2016,3,21,16,486 
2016,3,21,17,337 
2016,3,21,18,158 
2016,3,21,19,-11 
2016,3,21,20,-128 
2016,3,21,21,-161 
2016,3,21,22,-99 
2016,3,21,23,36 
2016,3,22,0,211 
2016,3,22,1,385 
2016,3,22,2,517 
2016,3,22,3,568 
2016,3,22,4,525 
2016,3,22,5,405 
2016,3,22,6,247 
2016,3,22,7,94 
2016,3,22,8,-15 
2016,3,22,9,-50 
2016,3,22,10,1 
2016,3,22,11,123 
2016,3,22,12,279 
2016,3,22,13,429 
2016,3,22,14,539 
2016,3,22,15,576 
2016,3,22,16,523 
2016,3,22,17,393 
2016,3,22,18,224 
2016,3,22,19,58 
2016,3,22,20,-68 
2016,3,22,21,-120 
2016,3,22,22,-80 
2016,3,22,23,40 
2016,3,23,0,205 
2016,3,23,1,374 
2016,3,23,2,509 
2016,3,23,3,576 
2016,3,23,4,550 
2016,3,23,5,436 
2016,3,23,6,271 
2016,3,23,7,104 
2016,3,23,8,-25 
2016,3,23,9,-83 
2016,3,23,10,-55 
2016,3,23,11,54 
2016,3,23,12,209 
2016,3,23,13,367 
2016,3,23,14,491 
2016,3,23,15,553 
2016,3,23,16,533 
2016,3,23,17,429 
2016,3,23,18,274 
2016,3,23,19,115 
2016,3,23,20,-9 
2016,3,23,21,-71 
2016,3,23,22,-50 
2016,3,23,23,53 
2016,3,24,0,208 
2016,3,24,1,370 
2016,3,24,2,502 
2016,3,24,3,577 
2016,3,24,4,568 
2016,3,24,5,469 
2016,3,24,6,305 
2016,3,24,7,127 
2016,3,24,8,-18 
2016,3,24,9,-99 
2016,3,24,10,-96 
2016,3,24,11,-9 
2016,3,24,12,137 
2016,3,24,13,296 
2016,3,24,14,428 
2016,3,24,15,507 
2016,3,24,16,514 
2016,3,24,17,441 
2016,3,24,18,308 
2016,3,24,19,160 
2016,3,24,20,40 
2016,3,24,21,-24 
2016,3,24,22,-15 
2016,3,24,23,72 
2016,3,25,0,215 
2016,3,25,1,372 
2016,3,25,2,499 
2016,3,25,3,575 
2016,3,25,4,579 
2016,3,25,5,499 
2016,3,25,6,346 
2016,3,25,7,164 
2016,3,25,8,4 
2016,3,25,9,-96 
2016,3,25,10,-120 
2016,3,25,11,-60 
2016,3,25,12,67 
2016,3,25,13,221 
2016,3,25,14,356 
2016,3,25,15,444 
2016,3,25,16,470 
2016,3,25,17,428 
2016,3,25,18,323 
2016,3,25,19,191 
